state,id,(,),{,},void,int,float,char,boolean,string,comma,;,:=,[,],if,else,while,return,charlit,strlit,&&,||,!,<,<=,=,!=,>=,>,true,false,+,-,/,*,%,intlit,floatlit,$,s',program,func-defs,func-def,ret-type,type,param-list,params,stmt-list,stmts,stmt,decl,vdecl,v-id-list,adecl,a-id-list,expr-list,assg,ifel,loop,rets,expr,bool-expr,bool-term,bool-primary,arth-expr,arth-term,arth-primary,func-call,arr-sub
0, , , , , ,s6,s7,s8,s9,s10,s11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,4,5, , , , , , , , , , , , , , , , , , , , , , , , 
1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2, , , , , ,s6,s7,s8,s9,s10,s11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r1, , , ,12,4,5, , , , , , , , , , , , , , , , , , , , , , , , 
3, , , , , ,r2,r2,r2,r2,r2,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,s13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,r7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,r11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , ,r3,r3,r3,r3,r3,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13, ,s14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14, , ,r12, , , ,s7,s8,s9,s10,s11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,15,16, , , , , , , , , , , , , , , , , , , , , , 
15, , ,s18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16, , ,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,s19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18, , , ,s20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19, , ,r14, , , , , , , , ,s21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,s33,s49, , ,r16, ,s7,s8,s9,s10,s11, , , , , ,s34, ,s35,s40,s38,s39, , ,s45, , , , , , ,s47,s48, , , , , ,s52,s53, , , , , , ,41, , ,22,23,24,25,31, ,32, , ,26,27,28,30,29,36,42,44,37,43,46,50,51
